iter	Logloss
0	0.6761433279
1	0.6596206318
2	0.645859957
3	0.633299784
4	0.6201561507
5	0.6075749527
6	0.5963737716
7	0.5872945939
8	0.5770446894
9	0.5677454879
10	0.5591125425
11	0.5500128268
12	0.5424627346
13	0.5348347338
14	0.5281904543
15	0.519726538
16	0.5132838672
17	0.5072731705
18	0.5010015376
19	0.4956100594
20	0.4898462997
21	0.4845315702
22	0.4792541086
23	0.4742577845
24	0.4698229808
25	0.4645288594
26	0.4612486361
27	0.4563167599
28	0.4526288295
29	0.448237714
30	0.4430238971
31	0.4381382387
32	0.4351863255
33	0.4317895039
34	0.429034596
35	0.4263752094
36	0.4232089913
37	0.4198407796
38	0.4174051161
39	0.414255519
40	0.4103928258
41	0.4072678357
42	0.4049269864
43	0.402893182
44	0.4000430875
45	0.3979851606
46	0.3952794818
47	0.3934907029
48	0.3902457602
49	0.388272517
50	0.3864259267
51	0.3831596028
52	0.3808056004
53	0.3783659307
54	0.3764821335
55	0.3745513
56	0.3728825057
57	0.3717140069
58	0.3707277857
59	0.3693936478
60	0.3679996233
61	0.366820909
62	0.3649808748
63	0.363454021
64	0.3623060475
65	0.3605540812
66	0.3589747079
67	0.3583364733
68	0.3572122943
69	0.3558922219
70	0.3547330569
71	0.3529904698
72	0.3516185136
73	0.3497341292
74	0.3488411506
75	0.3481250249
76	0.3475847157
77	0.3455915093
78	0.3436329306
79	0.3428292018
80	0.3418560273
81	0.341082663
82	0.3399285364
83	0.3391668936
84	0.3376509778
85	0.3364308948
86	0.335212535
87	0.3339821688
88	0.3321363404
89	0.3317311082
90	0.3307237011
91	0.3301952699
92	0.3294023053
93	0.3275612042
94	0.3271169331
95	0.3261054706
96	0.3250350475
97	0.3242647654
98	0.323730338
99	0.3233202848
100	0.3225795181
101	0.3216875406
102	0.3207999796
103	0.3202099846
104	0.3200772982
105	0.3194503279
106	0.3190036444
107	0.3184593062
108	0.3174754667
109	0.3163637682
110	0.3159321423
111	0.3154605119
112	0.3146253102
113	0.3141702399
114	0.3133285943
115	0.3119516125
116	0.3116263709
117	0.3114219622
118	0.3103195766
119	0.3095980206
120	0.3087098123
121	0.3079282041
122	0.3073019074
123	0.3064157762
124	0.3053618202
125	0.3046406679
126	0.3037507392
127	0.3027672042
128	0.3012645889
129	0.3010382321
130	0.2997497569
131	0.2983586808
132	0.2981124596
133	0.2973554342
134	0.2967071766
135	0.2961494711
136	0.2956035637
137	0.2947915687
138	0.2944540658
139	0.2941011605
140	0.2934813614
141	0.29315084
142	0.2926293924
143	0.2923024267
144	0.2919094271
145	0.2915362712
146	0.2909759611
147	0.290549563
148	0.2903293638
149	0.2900012475
150	0.2897882035
151	0.2896085908
152	0.2888208475
153	0.28848375
154	0.2879103067
155	0.2877794152
156	0.2876048558
157	0.2869381967
158	0.2863884631
159	0.2861806609
160	0.2859695611
161	0.2857914613
162	0.2850888047
163	0.2848785524
164	0.2840916165
165	0.2838982883
166	0.2836527665
167	0.2829495509
168	0.2825567282
169	0.2821210271
170	0.2811909016
171	0.280865662
172	0.2805151874
173	0.2799942276
174	0.2797757146
175	0.2793941408
176	0.2787283063
177	0.2784831797
178	0.2782292969
179	0.2777708622
180	0.2775059298
181	0.2770999397
182	0.2758788406
183	0.2754309127
184	0.2748899817
185	0.2742781155
186	0.2738251929
187	0.2733749279
188	0.2729414011
189	0.2726080932
190	0.2723540521
191	0.272222517
192	0.2721164657
193	0.2718231443
194	0.2713519565
195	0.2711810188
196	0.2702597869
197	0.2701662568
198	0.2699536876
199	0.269584698
200	0.2693941031
201	0.2690996512
202	0.2689401259
203	0.2687613851
204	0.2683689362
205	0.2682126085
206	0.2678489123
207	0.2674924434
208	0.267273085
209	0.2670695396
210	0.2665691342
211	0.2663258589
212	0.2661129124
213	0.2658004453
214	0.2653042957
215	0.2650106966
216	0.2647445172
217	0.2645376191
218	0.264285276
219	0.2639284941
220	0.2638157008
221	0.2637003082
222	0.263232472
223	0.2630337643
224	0.2627196046
225	0.2624723808
226	0.2621627412
227	0.2619377573
228	0.2615523736
229	0.2614348162
230	0.2613054498
231	0.2609240163
232	0.2608355434
233	0.2606028153
234	0.259955782
235	0.2595301264
236	0.2593313985
237	0.2588819362
238	0.2586443196
239	0.2584580314
240	0.2582456623
241	0.2579577459
242	0.2577667777
243	0.2575847913
244	0.257100225
245	0.2569912451
246	0.256823749
247	0.2566633935
248	0.2565625829
249	0.2563183408
250	0.2561867801
251	0.2559857536
252	0.2557918263
253	0.2554956613
254	0.2551974282
255	0.2550048363
256	0.2547571346
257	0.2545228595
258	0.2540447011
259	0.2537138743
260	0.2535039887
261	0.2532351979
262	0.2531175153
263	0.2529746625
264	0.2525890366
265	0.2522821421
266	0.2518195764
267	0.2516921333
268	0.2512746241
269	0.2511085445
270	0.2510078481
271	0.2510059188
272	0.2508769195
273	0.2506204005
274	0.2504651466
275	0.2503570452
276	0.2501411244
277	0.2499600575
278	0.2496535523
279	0.2494612375
280	0.2491988341
281	0.2488372772
282	0.2485371559
283	0.2484393531
284	0.2483236458
285	0.2481046839
286	0.2480057616
287	0.2478994229
288	0.2477725944
289	0.247421561
290	0.2473020938
291	0.2471150785
292	0.2467375355
293	0.2464419275
294	0.2461389489
295	0.2458377489
296	0.245699027
297	0.2455680733
298	0.2451765166
299	0.245054231
300	0.2447526267
301	0.2446683533
302	0.2444218165
303	0.2442682865
304	0.2441455103
305	0.2440156804
306	0.2435917805
307	0.2434407506
308	0.2432797272
309	0.2431155904
310	0.2430230824
311	0.2429369141
312	0.2426634438
313	0.242452367
314	0.2422948557
315	0.2420889155
316	0.2418685014
317	0.24175336
318	0.2417066209
319	0.2413569692
320	0.2411696916
321	0.2409529379
322	0.2406023494
323	0.2405913011
324	0.2403424625
325	0.2401658991
326	0.239878867
327	0.2396685451
328	0.2395211821
329	0.2392377818
330	0.2390282264
331	0.2386064048
332	0.2380721917
333	0.2379199192
334	0.2375861427
335	0.2374522355
336	0.237330428
337	0.2371348992
338	0.23662763
339	0.2362969219
340	0.2362317955
341	0.2360920477
342	0.2359205466
343	0.2356464055
344	0.2350956145
345	0.2348658354
346	0.2347626859
347	0.2344263306
348	0.2341569476
349	0.2340585579
350	0.233885873
351	0.2337642324
352	0.2335868243
353	0.2331654789
354	0.2330905569
355	0.2329170067
356	0.2326630944
357	0.2324833668
358	0.2322776699
359	0.2322127177
360	0.2319292159
361	0.2317706508
362	0.2314092252
363	0.231301856
364	0.2312293416
365	0.2310286328
366	0.2306863835
367	0.2304424804
368	0.2302740307
369	0.2301580312
370	0.2300300351
371	0.2298332618
372	0.2293620567
373	0.2292643319
374	0.229170917
375	0.2288929757
376	0.2287174831
377	0.2284488849
378	0.2282451964
379	0.2280822416
380	0.2278584706
381	0.2276925819
382	0.2275267679
383	0.227405419
384	0.2273210469
385	0.2270916788
386	0.2268281212
387	0.2267598624
388	0.2265496047
389	0.226382777
390	0.2262011368
391	0.2259146095
392	0.2257005847
393	0.2255885628
394	0.2255034288
395	0.2250594467
396	0.2249901894
397	0.224711891
398	0.2246460749
399	0.2245522914
400	0.2244762856
401	0.224107416
402	0.2240492586
403	0.223919361
404	0.2238402633
405	0.2237399566
406	0.2235500669
407	0.2234119136
408	0.2232736738
409	0.2231985105
410	0.2231150733
411	0.2230157514
412	0.2228011646
413	0.2224726393
414	0.2222517931
415	0.2221379234
416	0.2220515685
417	0.221963781
418	0.2218310064
419	0.2216002222
420	0.2214705175
421	0.2213979953
422	0.2210950633
423	0.220855143
424	0.2205467433
425	0.2204469161
426	0.2202826186
427	0.2201412346
428	0.2198107169
429	0.2197389369
430	0.2195824364
431	0.2193612353
432	0.2192835422
433	0.2191115399
434	0.2189803319
435	0.2188483455
436	0.2185992981
437	0.2185270538
438	0.2184702543
439	0.2182947447
440	0.2180937741
441	0.2178050162
442	0.2177568293
443	0.2176284883
444	0.2174956191
445	0.2171212996
446	0.2169802752
447	0.2167711215
448	0.2166067328
449	0.2164710452
450	0.2163502866
451	0.2162698037
452	0.216175434
453	0.2160806144
454	0.2159433956
455	0.2158368721
456	0.2157297004
457	0.2154141461
458	0.2152631355
459	0.2151042707
460	0.2149313328
461	0.2148618362
462	0.2146701888
463	0.2144673195
464	0.2143990216
465	0.2143005751
466	0.2141793025
467	0.2139795926
468	0.2138678204
469	0.2136004197
470	0.2134135996
471	0.2133114989
472	0.2132187519
473	0.2130479399
474	0.2129832417
475	0.2129433879
476	0.2127305506
477	0.2126250649
478	0.2124601569
479	0.2124077715
480	0.2122675307
481	0.2119744174
482	0.211868437
483	0.2117873897
484	0.2116948269
485	0.2116548451
486	0.2115999293
487	0.2114943102
488	0.2113325811
489	0.2112608471
490	0.211173416
491	0.2110279682
492	0.2109188613
493	0.2108216985
494	0.2106821779
495	0.2105230619
496	0.2104254269
497	0.2103578173
498	0.2102530408
499	0.2099906105
500	0.2098041346
501	0.2096977807
502	0.2095111504
503	0.2094474984
504	0.2093581163
505	0.2093018736
506	0.2092206911
507	0.2090574986
508	0.208844796
509	0.2086395424
510	0.208560162
511	0.208496179
512	0.208353963
513	0.208316496
514	0.2082397047
515	0.2081156507
516	0.208026172
517	0.2079552015
518	0.2077574313
519	0.2077077015
520	0.2074980903
521	0.207285833
522	0.2071486323
523	0.2070738881
524	0.2069273539
525	0.2068607743
526	0.2068015852
527	0.2066476325
528	0.2065777075
529	0.2065173594
530	0.2063397195
531	0.2061466694
532	0.2060517393
533	0.2059930019
534	0.2059454956
535	0.2058718042
536	0.2058154325
537	0.205785843
538	0.205685445
539	0.2055335922
540	0.2054803466
541	0.2053819148
542	0.2053002906
543	0.2051667694
544	0.2051140002
545	0.2049850616
546	0.2049213328
547	0.2048688419
548	0.2048149127
549	0.2047442433
550	0.2046385494
551	0.2044296954
552	0.2041158392
553	0.2038373507
554	0.20371546
555	0.2036371492
556	0.2035827576
557	0.2034732904
558	0.2033898109
559	0.2033601242
560	0.2032360933
561	0.203126044
562	0.2030432048
563	0.2029144208
564	0.2026718825
565	0.2025903629
566	0.2025400383
567	0.2023819753
568	0.2023137834
569	0.2021772431
570	0.2019318587
571	0.201860251
572	0.2017854956
573	0.2017192088
574	0.2016754326
575	0.2015225216
576	0.2013798053
577	0.2011734475
578	0.2010903898
579	0.2010077424
580	0.2009117658
581	0.2007896221
582	0.2007518455
583	0.2007199567
584	0.2006574822
585	0.2006032508
586	0.2004120307
587	0.2002543592
588	0.2001438736
589	0.1999481222
590	0.199827461
591	0.199678393
592	0.1995809207
593	0.19948881
594	0.199330132
