iter	Passed	Remaining
0	11	11310
1	24	12429
2	34	11441
3	45	11278
4	59	11906
5	68	11306
6	78	11082
7	85	10612
8	92	10190
9	100	9954
10	112	10137
11	140	11564
12	147	11195
13	157	11073
14	164	10790
15	174	10723
16	183	10597
17	190	10377
18	198	10242
19	207	10179
20	214	9998
21	221	9847
22	229	9750
23	240	9770
24	247	9659
25	261	9777
26	275	9938
27	285	9917
28	293	9812
29	303	9810
30	311	9744
31	319	9657
32	325	9549
33	335	9531
34	348	9608
35	356	9544
36	368	9593
37	379	9602
38	389	9592
39	399	9576
40	405	9494
41	417	9518
42	428	9546
43	437	9500
44	449	9530
45	455	9446
46	475	9631
47	483	9594
48	497	9647
49	509	9676
50	517	9623
51	526	9605
52	536	9577
53	548	9617
54	560	9633
55	570	9623
56	581	9622
57	588	9556
58	600	9570
59	607	9519
60	620	9555
61	627	9500
62	643	9574
63	674	9857
64	682	9816
65	696	9860
66	712	9923
67	726	9954
68	735	9927
69	742	9858
70	751	9829
71	760	9803
72	771	9802
73	790	9887
74	808	9977
75	816	9921
76	827	9924
77	837	9899
78	849	9903
79	863	9925
80	870	9872
81	882	9878
82	896	9906
83	908	9906
84	920	9913
85	930	9885
86	940	9873
87	957	9921
88	967	9906
89	976	9874
90	991	9908
91	999	9869
92	1010	9859
93	1019	9830
94	1031	9828
95	1037	9770
96	1046	9740
97	1055	9712
98	1065	9694
99	1072	9656
100	1083	9645
101	1093	9631
102	1103	9605
103	1110	9564
104	1119	9538
105	1127	9511
106	1136	9484
107	1144	9450
108	1157	9460
109	1164	9423
110	1174	9402
111	1185	9401
112	1199	9417
113	1210	9406
114	1223	9414
115	1230	9375
116	1237	9342
117	1247	9324
118	1255	9294
119	1263	9267
120	1270	9232
121	1285	9248
122	1294	9230
123	1304	9214
124	1312	9188
125	1324	9190
126	1333	9168
127	1352	9212
128	1360	9183
129	1371	9180
130	1386	9196
131	1394	9171
132	1403	9148
133	1417	9157
134	1424	9127
135	1435	9121
136	1447	9116
137	1454	9085
138	1466	9081
139	1478	9083
140	1488	9070
141	1496	9041
142	1511	9060
143	1520	9040
144	1528	9014
145	1536	8987
146	1547	8976
147	1554	8950
148	1563	8931
149	1573	8914
150	1583	8905
151	1593	8887
152	1604	8884
153	1616	8880
154	1626	8868
155	1634	8843
156	1651	8865
157	1668	8890
158	1682	8901
159	1689	8870
160	1696	8841
161	1712	8859
162	1722	8844
163	1731	8826
164	1740	8808
165	1748	8786
166	1760	8781
167	1771	8773
168	1782	8764
169	1789	8735
170	1804	8748
171	1810	8715
172	1822	8711
173	1842	8745
174	1852	8731
175	1862	8717
176	1875	8721
177	1881	8689
178	1893	8684
179	1901	8661
180	1912	8651
181	1918	8624
182	1929	8614
183	1937	8594
184	1944	8564
185	1950	8538
186	1958	8513
187	1965	8489
188	1973	8467
189	1982	8453
190	1989	8426
191	2002	8428
192	2009	8402
193	2019	8391
194	2028	8376
195	2036	8353
196	2042	8325
197	2049	8301
198	2057	8281
199	2066	8264
200	2075	8249
201	2084	8233
202	2093	8219
203	2102	8202
204	2112	8193
205	2126	8196
206	2132	8171
207	2140	8148
208	2149	8135
209	2159	8125
